station_id,Location name,ESMI_ID,District,State,Lat,Lon,era_min_time,era_max_time,era_lat,era_lon
412,Sangoni Kalan,,Bhopal,Madhya Pradesh,23.24634905,77.53322123,2017-02-01,2018-06-01,23.2,77.5
413,Sanjay Nagar,,Chandauli,Uttar Pradesh,25.26037383,83.25397963,2015-08-01,2017-10-01,25.3,83.3
415,Saraidih,,Palamu,Jharkhand,24.31436381,84.30889244,2017-04-01,2018-01-01,24.3,84.3
416,Sarang Talab ,,Varanasi,Uttar Pradesh,25.35040618,83.00657758,2015-07-01,2017-08-01,25.4,83.0
417,Saraswati Nagar Risiya,,Bahraich,Uttar Pradesh,27.5574939,81.58532876,2017-10-01,2019-01-01,27.6,81.6
418,Sariya,,Giridih,Jharkhand,24.18566969,85.89244786,2017-04-01,2018-11-01,24.2,85.9
419,Sarnath ,,Varanasi,Uttar Pradesh,25.37320631,83.02144427,2015-07-01,2016-08-01,25.4,83.0
420,Sarsa,,Bahraich,Uttar Pradesh,27.46186394,81.71920343,2018-04-01,2018-08-01,27.5,81.7
421,Sarwangi Mohalla Tikaitnagar,,Barabanki,Uttar Pradesh,26.93887969,81.19674639,2018-03-01,2019-01-01,26.9,81.2
422,Saswad,,Pune,Maharashtra,18.35003101,74.03204172,2014-09-01,2018-09-01,18.4,74.0
423,SavariyaPani,,Barwani,Madhya Pradesh,22.03761833,74.90402428,2015-08-01,2016-04-01,22.0,74.9
424,Sector 3,,Kurukshetra,Haryana,29.96258916,76.89098195,2015-07-01,2019-01-01,30.0,76.9
425,Sector 9,,Chandigarh,Chandigarh,30.74711954,76.79416745,2015-07-01,2019-01-01,30.7,76.8
426,Sector 28 ,,Chandigarh,Chandigarh,30.71698654,76.80399014,2015-07-01,2019-01-01,30.7,76.8
427,Sector 37,,Chandigarh,Chandigarh,30.73844752,76.75038474,2015-07-01,2019-01-01,30.7,76.8
428,Sector 56,,Gurgaon,Haryana,28.42442612,77.1004888,2014-09-01,2017-07-01,28.4,77.1
430,Shahabganj ,,Chandauli,Uttar Pradesh,25.09651918,83.26670079,2015-10-01,2018-06-01,25.1,83.3
431,Shakurpur,,West Delhi,Delhi,28.68715204,77.14107106,2014-09-01,2018-12-01,28.7,77.1
432,Shaniwarpeth,,Pune,Maharashtra,18.51872928,73.85150036,2014-09-01,2019-01-01,18.5,73.9
433,Sharda Nagar Faizabad,,Faizabad,Uttar Pradesh,26.76006844,82.12532771,2016-12-01,2017-07-01,26.8,82.1
434,Shastri Nagar,,Kanpur,Uttar Pradesh,26.46462607,80.30289581,2015-07-01,2017-05-01,26.5,80.3
435,Shingave,,Nashik,Maharashtra,19.7978385,74.55609799,2018-05-01,2019-01-01,19.8,74.6
436,Shirva ,,Udupi,Karnataka,13.21637453,74.8258241,2014-12-01,2016-02-01,13.2,74.8
437,Shiv Colony,,Nashik,Maharashtra,19.96149368,73.78261998,2015-07-01,2019-01-01,20.0,73.8
438,Shiv Mandir ,,Dombivali,Maharashtra,19.20924525,73.10052497,2015-08-01,2019-01-01,19.2,73.1
439,Shivaji Nagar,,Belgaum,Karnataka,15.8706654,74.52325322,2016-05-01,2019-01-01,15.9,74.5
440,Shivdaspura,,Jaipur,Rajasthan,26.70930131,75.89586662,2015-08-01,2017-11-01,26.7,75.9
441,Shivpur,,Varanasi,Uttar Pradesh,25.35725839,82.95550559,2015-08-01,2017-11-01,25.4,83.0
442,Shyam Nagar Bhopal,,Bhopal,Madhya Pradesh,23.1920071,77.39694737,2017-03-01,2019-01-01,23.2,77.4
444,Sidhauli Town,,Sitapur,Uttar Pradesh,27.2773774,80.83884062,2016-06-01,2019-01-01,27.3,80.8
445,Sikandarabad ,,Sitapur,Uttar Pradesh,27.95413888,80.49116187,2017-09-01,2018-11-01,28.0,80.5
446,Sikandra Agra,,Agra,Uttar Pradesh,27.21332243,77.94311909,2016-11-01,2019-01-01,27.2,77.9
447,Sindur Siyari,,Hazaribagh,Jharkhand,23.99289627,85.36297463,2017-04-01,2018-12-01,24.0,85.4
448,SirsiRoad ,,Jaipur,Rajasthan,26.91025371,75.68346579,2015-11-01,2018-08-01,26.9,75.7
449,Sonarpura Varanasi ,,Varanasi,Uttar Pradesh,25.29887727,83.00498373,2017-03-01,2017-12-01,25.3,83.0
450,Spurtank Road,,Chennai,Tamil Nadu,13.07076021,80.24739908,2014-10-01,2015-05-01,13.1,80.2
454,Sudna,,Daltonganj,Jharkhand,24.05570562,84.07135775,2017-04-01,2017-07-01,24.1,84.1
455,Sulindabad,,Saharsa,Bihar,25.85149503,86.60188842,2016-02-01,2016-10-01,25.9,86.6
456,Sumerpur,,Chamoli,Uttarakhand,30.01514624,79.30920404,2016-10-01,2019-01-01,30.0,79.3
457,Sundarpur ,,Varanasi,Uttar Pradesh,25.28611765,82.97921615,2015-07-01,2017-09-01,25.3,83.0
458,Supa ,,Pune,Maharashtra,18.33495247,74.37747361,2014-09-01,2018-04-01,18.3,74.4
460,Swaroop Nagar ,,Kanpur,Uttar Pradesh,26.48391994,80.31563726,2015-07-01,2016-03-01,26.5,80.3
461,T Nagar Chennai,,Kancheepuram,Tamil Nadu,13.04278157,80.2364651,2017-11-01,2019-01-01,13.0,80.2
462,Taj East Gate Road Agra ,,Agra,Uttar Pradesh,27.16477194,78.05755628,2016-11-01,2017-07-01,27.2,78.1
463,Takia Jarwal Kasba,,Bahraich,Uttar Pradesh,27.16486199,81.53894533,2017-10-01,2019-01-01,27.2,81.5
464,Talegaon,,Pune,Maharashtra,18.73078792,73.68054382,2014-09-01,2019-01-01,18.7,73.7
465,Tap Sipaha,,Barabanki,Uttar Pradesh,27.08384365,81.50595177,2017-11-01,2019-01-01,27.1,81.5
466,Tapadiya Nagar ,,Akola,Maharashtra,20.71856971,77.01140888,2015-10-01,2018-03-01,20.7,77.0
467,Tarinpur Sitapur,,Sitapur,Uttar Pradesh,27.57422287,80.6661764,2017-09-01,2018-12-01,27.6,80.7
468,Tarnaka,,Hyderabad,Telangana,17.42639703,78.53799481,2014-09-01,2019-01-01,17.4,78.5
469,Tarun Nagar,,Guwahati,Assam,26.16351084,91.77615552,2016-11-01,2019-01-01,26.2,91.8
470,Tedwadih,,Sitapur,Uttar Pradesh,27.56320917,80.68070226,2016-06-01,2018-09-01,27.6,80.7
471,Thana,,Udaipur,Rajasthan,24.6063798,73.69937465,2016-05-01,2017-05-01,24.6,73.7
472,Thandeswaranallur,,Cuddalore,Tamil Nadu,11.38623104,79.68356841,2018-03-01,2019-01-01,11.4,79.7
473,Thangaon,,Sitapur,Uttar Pradesh,27.45612644,81.24770093,2016-07-01,2019-01-01,27.5,81.2
474,Thendral Nagar Avadi,,Thiruvallur,Tamil Nadu,13.11249097,80.07098847,2018-03-01,2018-07-01,13.1,80.1
475,Theradi Kadai Street Chidambaram,,Cuddalore,Tamil Nadu,11.39970811,79.69653564,2018-03-01,2019-01-01,11.4,79.7
476,Thiruvetkalam,,Chidambaram,Tamil Nadu,11.39174408,79.71822982,2018-03-01,2019-01-01,11.4,79.7
478,Tilak Nagar Deharadun,,Dehradun,Uttarakhand,30.32236641,78.02756997,2017-03-01,2018-09-01,30.3,78.0
479,Tilak Nagar,,Nagpur,Maharashtra,21.14590328,79.05901137,2014-11-01,2019-01-01,21.1,79.1
480,TNHB colony Avadi,,Thiruvallur,Tamil Nadu,13.11303949,80.10200798,2018-03-01,2019-01-01,13.1,80.1
481,Topri,,Saharanpur,Uttar Pradesh,30.05765889,77.54634803,2016-11-01,2017-07-01,30.1,77.5
482,Udyambaug,,Belgaum,Karnataka,15.81974801,74.48942761,2016-05-01,2018-09-01,15.8,74.5
483,Ulubari,,Guwahati,Assam,26.17047434,91.75527138,2016-11-01,2018-04-01,26.2,91.8
484,University ,,Kurukshetra,Haryana,29.95388236,76.81789494,2015-07-01,2017-05-01,30.0,76.8
485,University Quarter,,Kurukshetra,Haryana,29.9514904,76.81882761,2015-07-01,2018-04-01,30.0,76.8
486,Uppal,,Hyderabad,Telangana,17.40433833,78.56353639,2015-11-01,2017-02-01,17.4,78.6
487,UPSIDC Site C Agra,,Agra,Uttar Pradesh,27.21251257,77.94393951,2016-11-01,2019-01-01,27.2,77.9
488,Vaishali Nagar,,Jaipur,Rajasthan,26.90679956,75.7398587,2015-11-01,2016-06-01,26.9,75.7
489,Vanaparty ,,Warangal,Telangana,17.95681616,79.6021226,2015-09-01,2018-09-01,18.0,79.6
490,Vasant Kunj,,South West Delhi,Delhi,28.52683739,77.1520799,2015-04-01,2017-05-01,28.5,77.2
491,Veerangana nagar,,Jhansi,Uttar Pradesh,25.46055828,78.60828575,2017-05-01,2018-07-01,25.5,78.6
492,Velachery Chennai,,Kancheepuram,Tamil Nadu,12.97898702,80.22101621,2017-11-01,2019-01-01,13.0,80.2
493,Vidya Nagar,,Hyderabad,Telangana,17.40617857,78.51240127,2015-08-01,2018-02-01,17.4,78.5
494,Vijay Laxmi Nagar Sitapur,,Sitapur,Uttar Pradesh,27.5656276,80.67910366,2018-01-01,2019-01-01,27.6,80.7
495,Vijay Nagar,,Hyderabad,Telangana,17.39429481,78.45101625,2014-09-01,2019-01-01,17.4,78.5
