Serial_Number,Location name,ESMI_ID,From date,To date,District,State,Category,Connection Type,Lat,Lon,Duplicates_ESMI_Scrapping,
237,Kaulagarh Dehradun,,11/18/2016,12/31/2018,Dehradun,Uttarakhand,State Capital,Domestic,30.35168868,78.00907672,,
238,Kedar Nagar Agra,,12/28/2016,12/31/2018,Agra,Uttar Pradesh,District Headquarters,Domestic,27.17550781,77.97348219,,
239,Keonjhar ,,9/5/2015,9/1/2016,Kendujhar,Odisha,Other Municipal Area,Domestic,21.64696343,85.60272104,,Offline
240,Keshwari,,5/13/2017,9/28/2018,Giridih,Jharkhand,Gram Panchayat,Domestic,24.18644028,85.8389339,,Offline
241,Kevai,,1/3/2017,1/7/2018,Fatehpur,Uttar Pradesh,Gram Panchayat,Domestic,25.93835257,80.56179129,,
242,Khade Bazar ,,5/5/2015,6/10/2018,Belgaum,Karnataka,District Headquarters,Domestic,15.86417694,74.51574681,,Offline
243,Khadki,,11/26/2014,12/31/2018,Akola,Maharashtra,Other Municipal Area,Domestic,20.6668927,77.02253531,,
244,Khadpoli,,5/24/2017,7/31/2018,Ratnagiri,Maharashtra,Gram Panchayat,Domestic,17.51648464,73.59736559,,Offline
245,Khaga,,1/4/2017,4/3/2017,Fatehpur,Uttar Pradesh,Gram Panchayat,Domestic,25.77195143,81.11057515,,Offline
246,Khardah,,12/16/2014,11/16/2015,Kolkata,West Bengal,State Capital,Domestic,22.71308039,88.37930228,,Offline
247,Khed Ratnagiri,,4/9/2017,12/31/2018,Ratnagiri,Maharashtra,Other Municipal Area,Domestic,17.72629055,73.40653707,,
248,Khindaura,,8/16/2016,12/31/2018,Sitapur,Uttar Pradesh,Gram Panchayat,Domestic,27.28494392,81.02379931,,
249,Khutehna,,1/2/2018,4/10/2018,Bahraich,Uttar Pradesh,Gram Panchayat,Domestic,27.46634038,81.73652139,,Offline
250,Kirti Nagar ,,10/5/2015,12/31/2018,Akola,Maharashtra,District Headquarters,Domestic,20.69565165,77.01627657,,
251,Kondhanpur,,10/30/2014,12/31/2018,Pune,Maharashtra,Gram Panchayat,Domestic,18.34805063,73.79407913,,
252,Kotanka,,11/5/2014,12/31/2018,Anantpur,Andhra Pradesh,Gram Panchayat,Domestic,14.77188643,77.49890436,,
253,Kothi Bazar Hoshangabad,,4/2/2017,12/31/2018,Hoshangabad,Madhya Pradesh,District Headquarters,Domestic,22.75431779,77.73037436,,
254,Kotwa Dham,,4/22/2018,8/8/2018,Barabanki,Uttar Pradesh,Gram Panchayat,Domestic,26.98615473,81.51376795,,Offline
255,Kovvur,,2/2/2016,5/29/2018,East Godavari,Andhra Pradesh,Other Municipal Area,Domestic,17.01344309,81.72812678,,
256,Kuchera,,12/19/2016,2/20/2017,Faizabad,Uttar Pradesh,Gram Panchayat,Domestic,26.65119357,81.99324821,,Offline
257,Kumarheda,,1/4/2017,7/25/2018,Saharanpur,Uttar Pradesh,Gram Panchayat,Domestic,29.9664805,77.61926933,,Offline
258,Kund Colony Gopeshwar,,11/11/2016,2/11/2018,Chamoli,Uttarakhand,Other Municipal Area,Non Domestic,30.41485295,79.31927836,,
259,Kundapur ,,1/6/2015,10/22/2016,Udupi,Karnataka,Other Municipal Area,Domestic,13.62373506,74.69346978,,Offline
260,Kurmaura,,11/17/2017,6/17/2018,Bahraich,Uttar Pradesh,Gram Panchayat,Domestic,27.17463008,81.60360123,,
261,Kuthappakkam Cuddalore,,4/28/2018,7/8/2018,Cuddalore,Tamil Nadu,Other Municipal Area,Domestic,11.74985661,79.73353919,,
262,Lajpat Nagar,,4/7/2015,12/31/2018,South Delhi,Delhi,State Capital,Non Domestic,28.56885994,77.24254045,,
263,Lalpur Chowk,,9/3/2017,10/22/2018,Hazaribagh,Jharkhand,District Headquarters,Domestic,23.99485088,85.36535435,,
264,Loha Mandi Jhansi ,,1/2/2017,6/21/2017,Jhansi,Uttar Pradesh,District Headquarters,Domestic,25.45554671,78.56863171,,Offline
265,Lokgram,,9/8/2015,9/18/2017,Kalyan,Maharashtra,Other Municipal Area,Domestic,19.22827285,73.12538943,,Offline
266,Madhal,,5/28/2017,7/17/2018,Ratnagiri,Maharashtra,Gram Panchayat,Non Domestic,17.45448801,73.3485993,,
267,Mahabubnagar,,3/5/2017,12/31/2018,Raichur,Karnataka,District Headquarters,Non Domestic,16.21915339,77.35209598,,
268,Mahasi,,2/21/2018,12/31/2018,Bahraich,Uttar Pradesh,Gram Panchayat,Domestic,27.56342247,81.4125694,,
269,Mahawan,,1/3/2017,1/31/2017,Faizabad,Uttar Pradesh,Gram Panchayat,Domestic,26.71055754,82.13411848,,
