Serial_Number,Location name,ESMI_ID,From date,To date,District,State,Category,Connection Type,Lat,Lon,Duplicates_ESMI_Scrapping,
386,Rasuliya Hoshangabad,,4/1/2017,4/10/2017,Hoshangabad,Madhya Pradesh,District Headquarters,Domestic,22.73477556,77.72483934,,
387,Razole Village,,3/6/2016,12/6/2016,East Godavari,Andhra Pradesh,Gram Panchayat,Domestic,16.47702212,81.83956578,,
388,Refugee Colony,,3/2/2016,5/31/2017,Saharsa,Bihar,District Headquarters,Domestic,25.87523937,86.58178715,,
389,Renuka Nagar ,,10/2/2015,12/31/2018,Akola,Maharashtra,District Headquarters,Domestic,20.70650095,76.97871016,,
390,Retteri Chennai,,1/15/2018,6/15/2018,Chennai,Tamil Nadu,District Headquarters,Domestic,13.14345925,80.21146433,,
391,Rishibhumi Risia,,11/17/2017,12/31/2018,Bahraich,Uttar Pradesh,Other Municipal Area,Domestic,27.57413477,81.60198331,,
392,Sadar,,10/13/2015,12/31/2018,Nagpur,Maharashtra,District Headquarters,Domestic,21.16422385,79.07308303,,
393,Sadashiv Nagar,,5/30/2016,12/31/2018,Belgaum,Karnataka,District Headquarters,Domestic,15.8765877,74.50630578,,
394,Sahadatganj Faizabad,,6/7/2017,7/15/2017,Faizabad,Uttar Pradesh,District Headquarters,Domestic,26.76785353,82.11276038,,
395,Sahakar Marg,,12/15/2015,4/28/2017,Jaipur,Rajasthan,State Capital,Domestic,26.89096564,75.7943418,,
396,Sahakarnagar,119,11/13/2014,12/31/2018,Pune,Maharashtra,District Headquarters,Domestic,18.47902626,73.85205541,Y,
397,Saharsa Basti ,,3/2/2016,9/27/2016,Saharsa,Bihar,District Headquarters,Domestic,25.87868698,86.59957886,,Offline
398,Sahastradhara road,,11/24/2016,3/14/2017,Dehradun,Uttarakhand,State Capital,Domestic,30.35436746,78.09554277,,Offline
399,Sahdipur,,10/11/2017,12/31/2018,Sitapur,Uttar Pradesh,Gram Panchayat,Domestic,27.66678036,80.75108111,,
400,Saheed Nagar Bhubaneswar,749,3/6/2018,12/31/2018,Khordha,Odisha,State Capital,Domestic,20.28874514,85.84846335,Y,
401,Sahibabad Industrial Area,,1/13/2016,10/31/2017,Ghaziabad,Uttar Pradesh,District Headquarters,Non Domestic,28.68066031,77.34718829,,Offline
402,Sai,,1/14/2017,1/2/2018,Fatehpur,Uttar Pradesh,Gram Panchayat,Domestic,25.92283138,80.81817524,,
403,Sainikpuri,,11/29/2015,12/31/2018,Hyderabad,Telangana,State Capital,Domestic,17.49662598,78.56243799,,
404,Salaiya Bhopal,,4/1/2017,12/31/2018,Bhopal,Madhya Pradesh,District Headquarters,Domestic,23.1658681,77.44220119,,
405,Salgaon,,5/29/2017,3/28/2018,Hazaribagh,Jharkhand,District Headquarters,Domestic,23.99459337,85.31463521,,
406,Saliyana Gairsain,,11/24/2016,3/12/2018,Chamoli,Uttarakhand,Gram Panchayat,Domestic,30.48433368,79.56186778,,
407,Samariya,,11/10/2017,4/25/2018,Bahraich,Uttar Pradesh,Gram Panchayat,Domestic,27.5749337,81.60176874,,Offline
408,Samata Nagar ,,11/2/2015,11/23/2016,Dhule,Maharashtra,District Headquarters,Domestic,20.87200941,74.76622135,,Offline
409,Samneghat,,11/1/2015,1/1/2016,Varanasi,Uttar Pradesh,District Headquarters,Domestic,25.27521846,83.01062681,,Offline
410,Samta Colony _Raipur,,5/18/2016,12/31/2018,Raipur,Chhattisgarh,State Capital,Domestic,21.24513803,81.61616194,,
411,Sancole,,1/30/2016,11/15/2018,South Goa,Goa,Other Municipal Area,Non Domestic,15.38494264,73.87307776,,Offline
412,Sangoni Kalan,,3/31/2017,5/24/2018,Bhopal,Madhya Pradesh,Gram Panchayat,Non Domestic,23.24634905,77.53322123,,Offline
413,Sanjay Nagar,,9/2/2015,9/4/2017,Chandauli,Uttar Pradesh,District Headquarters,Domestic,25.26037383,83.25397963,,Offline
414,Santacruz,,9/6/2015,6/12/2017,Mumbai,Maharashtra,State Capital,Domestic,19.08510764,72.83627274,,Offline
415,Saraidih,,5/18/2017,12/31/2017,Palamu,Jharkhand,Gram Panchayat,Domestic,24.31436381,84.30889244,,
416,Sarang Talab ,,8/30/2015,7/27/2017,Varanasi,Uttar Pradesh,District Headquarters,Domestic,25.35040618,83.00657758,,Offline
417,Saraswati Nagar Risiya,,11/20/2017,12/31/2018,Bahraich,Uttar Pradesh,Other Municipal Area,Domestic,27.5574939,81.58532876,,
418,Sariya,,5/13/2017,10/2/2018,Giridih,Jharkhand,Gram Panchayat,Domestic,24.18566969,85.89244786,,Offline
419,Sarnath ,,8/31/2015,7/15/2016,Varanasi,Uttar Pradesh,Gram Panchayat,Domestic,25.37320631,83.02144427,,Offline
420,Sarsa,,5/29/2018,7/10/2018,Bahraich,Uttar Pradesh,Gram Panchayat,Domestic,27.46186394,81.71920343,,Offline
421,Sarwangi Mohalla Tikaitnagar,,4/22/2018,12/31/2018,Barabanki,Uttar Pradesh,Other Municipal Area,Domestic,26.93887969,81.19674639,,
422,Saswad,,10/31/2014,8/6/2018,Pune,Maharashtra,Other Municipal Area,Domestic,18.35003101,74.03204172,,
423,SavariyaPani,,9/21/2015,3/3/2016,Barwani,Madhya Pradesh,Gram Panchayat,Domestic,22.03761833,74.90402428,,Offline
424,Sector 3,,8/25/2015,12/31/2018,Kurukshetra,Haryana,District Headquarters,Domestic,29.96258916,76.89098195,,
425,Sector 9,,8/26/2015,12/31/2018,Chandigarh,Chandigarh,State Capital,Non Domestic,30.74711954,76.79416745,,
426,Sector 28 ,,8/26/2015,12/31/2018,Chandigarh,Chandigarh,State Capital,Domestic,30.71698654,76.80399014,,
427,Sector 37,,8/26/2015,12/31/2018,Chandigarh,Chandigarh,State Capital,Non Domestic,30.73844752,76.75038474,,
428,Sector 56,,10/28/2014,6/12/2017,Gurgaon,Haryana,District Headquarters,Domestic,28.42442612,77.1004888,,Offline
429,Sector 70,269,8/27/2015,12/31/2018,Sahibzada Ajit Singh Nagar,Punjab,District Headquarters,Domestic,30.6977017,76.71460946,Y,
430,Shahabganj ,,11/1/2015,5/4/2018,Chandauli,Uttar Pradesh,Gram Panchayat,Domestic,25.09651918,83.26670079,,
431,Shakurpur,,10/31/2014,11/2/2018,West Delhi,Delhi,State Capital,Domestic,28.68715204,77.14107106,,Offline
432,Shaniwarpeth,,10/31/2014,12/31/2018,Pune,Maharashtra,District Headquarters,Domestic,18.51872928,73.85150036,,
433,Sharda Nagar Faizabad,,1/5/2017,6/18/2017,Faizabad,Uttar Pradesh,District Headquarters,Domestic,26.76006844,82.12532771,,
434,Shastri Nagar,,8/6/2015,4/10/2017,Kanpur,Uttar Pradesh,District Headquarters,Non Domestic,26.46462607,80.30289581,,Offline
435,Shingave,,6/24/2018,12/31/2018,Nashik,Maharashtra,Gram Panchayat,Non Domestic,19.7978385,74.55609799,,
436,Shirva ,,1/7/2015,1/22/2016,Udupi,Karnataka,Gram Panchayat,Domestic,13.21637453,74.8258241,,Offline
437,Shiv Colony,,8/26/2015,12/31/2018,Nashik,Maharashtra,District Headquarters,Domestic,19.96149368,73.78261998,,
438,Shiv Mandir ,,9/21/2015,12/31/2018,Dombivali,Maharashtra,Other Municipal Area,Domestic,19.20924525,73.10052497,,
439,Shivaji Nagar,,6/7/2016,12/31/2018,Belgaum,Karnataka,District Headquarters,Domestic,15.8706654,74.52325322,,
440,Shivdaspura,,9/10/2015,10/14/2017,Jaipur,Rajasthan,Gram Panchayat,Non Domestic,26.70930131,75.89586662,,Offline
441,Shivpur,,9/23/2015,10/24/2017,Varanasi,Uttar Pradesh,Gram Panchayat,Domestic,25.35725839,82.95550559,,Offline
442,Shyam Nagar Bhopal,,4/8/2017,12/31/2018,Bhopal,Madhya Pradesh,District Headquarters,Domestic,23.1920071,77.39694737,,
443,Siddhapura ,,12/15/2014,5/7/2016,Udupi,Karnataka,Other Municipal Area,Domestic,13.33180254,74.74700422,,Offline
444,Sidhauli Town,,7/8/2016,12/31/2018,Sitapur,Uttar Pradesh,Other Municipal Area,Domestic,27.2773774,80.83884062,,
445,Sikandarabad ,,10/17/2017,10/6/2018,Sitapur,Uttar Pradesh,Gram Panchayat,Domestic,27.95413888,80.49116187,,
446,Sikandra Agra,,12/27/2016,12/31/2018,Agra,Uttar Pradesh,District Headquarters,Domestic,27.21332243,77.94311909,,
447,Sindur Siyari,,5/21/2017,11/28/2018,Hazaribagh,Jharkhand,Gram Panchayat,Domestic,23.99289627,85.36297463,,
448,SirsiRoad ,,12/15/2015,7/28/2018,Jaipur,Rajasthan,State Capital,Domestic,26.91025371,75.68346579,,
449,Sonarpura Varanasi ,,4/28/2017,11/29/2017,Varanasi,Uttar Pradesh,District Headquarters,Domestic,25.29887727,83.00498373,,Offline
450,Spurtank Road,,11/30/2014,4/21/2015,Chennai,Tamil Nadu,State Capital,Domestic,13.07076021,80.24739908,,Offline
451,Sri Ram Rang Pura,570,3/23/2017,12/31/2018,Bellary,Karnataka,Gram Panchayat,Non Domestic,12.26868675,76.62715736,Y,
452,Srirampura,212,12/19/2014,12/31/2018,Bengaluru Urban,Karnataka,State Capital,Non Domestic,12.99011628,77.56579047,Y,
453,Subhash road Ratnagiri,,5/24/2017,12/31/2018,Ratnagiri,Maharashtra,District Headquarters,Non Domestic,16.99871484,73.29380803,,
454,Sudna,,5/8/2017,6/28/2017,Daltonganj,Jharkhand,District Headquarters,Domestic,24.05570562,84.07135775,,
455,Sulindabad,,3/2/2016,9/15/2016,Saharsa,Bihar,Gram Panchayat,Domestic,25.85149503,86.60188842,,Offline
456,Sumerpur,,11/24/2016,12/31/2018,Chamoli,Uttarakhand,Gram Panchayat,Domestic,30.01514624,79.30920404,,
457,Sundarpur ,,8/30/2015,8/23/2017,Varanasi,Uttar Pradesh,District Headquarters,Domestic,25.28611765,82.97921615,,Offline
458,Supa ,,10/30/2014,3/16/2018,Pune,Maharashtra,Gram Panchayat,Domestic,18.33495247,74.37747361,,Offline
459,Surakalpeth Cuddalore,,1/15/2018,8/29/2018,Cuddalore,Tamil Nadu,District Headquarters,Domestic,11.75108375,79.76383402,,
460,Swaroop Nagar ,,8/6/2015,2/27/2016,Kanpur,Uttar Pradesh,District Headquarters,Domestic,26.48391994,80.31563726,,Offline
461,T Nagar Chennai,,12/14/2017,12/31/2018,Kancheepuram,Tamil Nadu,State Capital,Domestic,13.04278157,80.2364651,,
462,Taj East Gate Road Agra ,,12/27/2016,6/25/2017,Agra,Uttar Pradesh,District Headquarters,Non Domestic,27.16477194,78.05755628,,Offline
463,Takia Jarwal Kasba,,11/28/2017,12/31/2018,Bahraich,Uttar Pradesh,Other Municipal Area,Domestic,27.16486199,81.53894533,,
464,Talegaon,,10/31/2014,12/31/2018,Pune,Maharashtra,Other Municipal Area,Domestic,18.73078792,73.68054382,,
465,Tap Sipaha,,12/5/2017,12/31/2018,Barabanki,Uttar Pradesh,Gram Panchayat,Domestic,27.08384365,81.50595177,,
466,Tapadiya Nagar ,,11/11/2015,2/28/2018,Akola,Maharashtra,District Headquarters,Domestic,20.71856971,77.01140888,,
467,Tarinpur Sitapur,,10/14/2017,11/5/2018,Sitapur,Uttar Pradesh,District Headquarters,Domestic,27.57422287,80.6661764,,
468,Tarnaka,,10/29/2014,12/31/2018,Hyderabad,Telangana,State Capital,Domestic,17.42639703,78.53799481,,
469,Tarun Nagar,,12/16/2016,12/31/2018,Guwahati,Assam,State Capital,Domestic,26.16351084,91.77615552,,
470,Tedwadih,,7/6/2016,8/14/2018,Sitapur,Uttar Pradesh,Gram Panchayat,Domestic,27.56320917,80.68070226,,
471,Thana,,6/12/2016,4/16/2017,Udaipur,Rajasthan,Gram Panchayat,Agriculture,24.6063798,73.69937465,,Offline
472,Thandeswaranallur,,4/27/2018,12/31/2018,Cuddalore,Tamil Nadu,Gram Panchayat,Domestic,11.38623104,79.68356841,,
473,Thangaon,,8/1/2016,12/31/2018,Sitapur,Uttar Pradesh,Gram Panchayat,Domestic,27.45612644,81.24770093,,
474,Thendral Nagar Avadi,,4/18/2018,6/7/2018,Thiruvallur,Tamil Nadu,State Capital,Domestic,13.11249097,80.07098847,,
475,Theradi Kadai Street Chidambaram,,4/27/2018,12/31/2018,Cuddalore,Tamil Nadu,Other Municipal Area,Non Domestic,11.39970811,79.69653564,,
476,Thiruvetkalam,,4/27/2018,12/31/2018,Chidambaram,Tamil Nadu,Gram Panchayat,Domestic,11.39174408,79.71822982,,
477,Tilak Ali Ratnagiri,,5/30/2017,12/31/2018,Ratnagiri,Maharashtra,District Headquarters,Domestic,16.99546072,73.29051051,,
478,Tilak Nagar Deharadun,,4/22/2017,8/1/2018,Dehradun,Uttarakhand,State Capital,Domestic,30.32236641,78.02756997,,
479,Tilak Nagar,,12/16/2014,12/31/2018,Nagpur,Maharashtra,District Headquarters,Domestic,21.14590328,79.05901137,,
480,TNHB colony Avadi,,4/7/2018,12/31/2018,Thiruvallur,Tamil Nadu,State Capital,Domestic,13.11303949,80.10200798,,
481,Topri,,12/19/2016,6/16/2017,Saharanpur,Uttar Pradesh,Gram Panchayat,Domestic,30.05765889,77.54634803,,Offline
482,Udyambaug,,6/8/2016,11/2/2018,Belgaum,Karnataka,District Headquarters,Domestic,15.81974801,74.48942761,,Offline
483,Ulubari,,12/16/2016,3/12/2018,Guwahati,Assam,State Capital,Domestic,26.17047434,91.75527138,,
484,University ,,8/25/2015,4/3/2017,Kurukshetra,Haryana,District Headquarters,Domestic,29.95388236,76.81789494,,Offline
485,University Quarter,,8/25/2015,3/12/2018,Kurukshetra,Haryana,District Headquarters,Domestic,29.9514904,76.81882761,,
486,Uppal,,12/9/2015,1/7/2017,Hyderabad,Telangana,State Capital,Domestic,17.40433833,78.56353639,,Offline
487,UPSIDC Site C Agra,,12/28/2016,12/31/2018,Agra,Uttar Pradesh,District Headquarters,Non Domestic,27.21251257,77.94393951,,
488,Vaishali Nagar,,12/15/2015,5/25/2016,Jaipur,Rajasthan,State Capital,Domestic,26.90679956,75.7398587,,Offline
489,Vanaparty ,,10/23/2015,8/25/2018,Warangal,Telangana,District Headquarters,Domestic,17.95681616,79.6021226,,Offline
490,Vasant Kunj,,5/22/2015,4/18/2017,South West Delhi,Delhi,State Capital,Domestic,28.52683739,77.1520799,,Offline
491,Veerangana nagar,,6/8/2017,6/29/2018,Jhansi,Uttar Pradesh,District Headquarters,Domestic,25.46055828,78.60828575,,Offline
492,Velachery Chennai,,12/15/2017,12/31/2018,Kancheepuram,Tamil Nadu,State Capital,Domestic,12.97898702,80.22101621,,
493,Vidya Nagar,,9/24/2015,1/20/2018,Hyderabad,Telangana,State Capital,Domestic,17.40617857,78.51240127,,Offline
494,Vijay Laxmi Nagar Sitapur,,2/26/2018,12/31/2018,Sitapur,Uttar Pradesh,District Headquarters,Domestic,27.5656276,80.67910366,,
495,Vijay Nagar,,10/30/2014,12/31/2018,Hyderabad,Telangana,State Capital,Domestic,17.39429481,78.45101625,,
496,Vijaylakshmipuram Ambathur,,4/7/2018,12/31/2018,Thiruvallur,Tamil Nadu,State Capital,Domestic,13.12422962,80.15413992,,
497,Vikas Nagar,,8/6/2015,12/31/2018,Kanpur,Uttar Pradesh,District Headquarters,Non Domestic,26.49298369,80.28450196,,
498,Vikas Nagar,,8/6/2015,1/10/2016,Lucknow,Uttar Pradesh,State Capital,Domestic,26.89800576,80.96425856,,Offline
499,Vinod Vihar Colony Saharanpur ,,1/4/2017,11/14/2017,Saharanpur,Uttar Pradesh,District Headquarters,Domestic,29.96391643,77.5567696,,Offline
500,VPuram,,12/26/2015,10/22/2017,Hyderabad,Telangana,State Capital,Domestic,17.3254363,78.57317564,,Offline
501,VSR Nagar Chidambaram,,4/27/2018,12/31/2018,Cuddalore,Tamil Nadu,Other Municipal Area,Domestic,11.40417555,79.68013647,,
502,VV Puram ,,9/25/2015,1/29/2017,Bengaluru Urban,Karnataka,State Capital,Domestic,12.95239718,77.57678966,,Offline
503,Waddicherla ,,10/23/2015,3/12/2018,Warangal,Telangana,District Headquarters,Domestic,17.65772118,79.24469934,,Offline
504,Wani ,914,9/3/2015,7/18/2017,Dhule,Maharashtra,Gram Panchayat,Agriculture,20.88361053,74.76213979,Y,Offline
505,Ward No 4,,3/2/2016,5/3/2016,Saharsa,Bihar,District Headquarters,Domestic,25.89401419,86.6152464,,Offline
506,West cross street Chidambaram,,2/26/2018,12/31/2018,Cuddalore,Tamil Nadu,Other Municipal Area,Non Domestic,11.40207242,79.69116258,,
507,Yadthare ,,1/6/2015,6/29/2016,Udupi,Karnataka,Gram Panchayat,Non Domestic,13.9104088,74.63142225,,Offline
508,Yelahanka ,,10/20/2015,12/31/2018,Bengaluru Urban,Karnataka,State Capital,Domestic,13.11751591,77.59940714,,
509,Yellur,,1/29/2018,12/31/2018,Belgaum,Karnataka,Gram Panchayat,Domestic,15.78057293,74.52202273,,
510,Ziniret Chowk,,6/21/2016,12/2/2016,Udaipur,Rajasthan,District Headquarters,Domestic,24.57985421,73.69376192,,Offline
511,Baldirai (E),,10/30/2017,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.46856501,81.89301569,,
512,Baldirai (W),,4/18/2018,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.46856501,81.89301569,,
513,Bikwajipur Parasin,,5/2/2017,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.11150736,82.6632338,,
514,Bikwajipur,,4/27/2017,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.25929168,82.06478227,,
515,Dhanaudi (E),,9/18/2018,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.25929168,82.06478227,,
516,Dhanaudi (W),,5/4/2017,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.25929168,82.06478227,,
517,Kharsoma (E) ,,9/1/2018,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.36980692,82.19009787,,
518,Kharsoma (N) Sultanpur,,12/26/2018,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.36980692,82.19009787,,
519,Kharsoma (S),,9/1/2018,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.36980692,82.19009787,,
520,Kharsoma (W) ,,9/1/2018,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.36980692,82.19009787,,
521,Oragadam Ambathur,,2/26/2018,12/31/2018,Thiruvallur,Tamil Nadu,State Capital,Domestic,13.13451391,80.15153182,,
522,Paraspatti (E),,9/1/2018,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.22408686,82.31538574,,
523,Paraspatti (W),,9/1/2018,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.22408686,82.31538574,,
524,Purehubba,,9/1/2018,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.25959975,82.06821549,,
525,Sukhbaderi,,9/1/2018,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.47551805,81.92078763,,
526,Tiwaripur (E),,9/1/2018,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.17889702,82.26594748,,
527,Tiwaripur (W),,9/1/2018,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.17889702,82.26594748,,
528,Uttardah,,9/1/2018,12/31/2018,Sultanpur,Uttar Pradesh,Gram Panchayat,Domestic,26.32187824,82.03788787,,
529,Sahakar Nagar,119,10/28/2014,12/26/2023,Pune,Maharashtra,,,18.48984534,73.84679158,Y,
530,Aundh,130,10/31/2014,12/26/2023,Pune,Maharashtra,,,18.55105111,73.80853932,,
531,PEG (Kothrud),137,10/22/2014,12/23/2023,Pune,Maharashtra,,,18.50166172,73.8223785,Y,
532,Ameerpet,171,1/13/2004,12/17/2023,Hyderabad,Telangana,,,17.43443761,78.45388323,Y,
533,Srirampura,212,4/13/2018,12/26/2023,Bengaluru,Karnataka,,,13.06873736,77.6148191,Y,
534,Sector 70,269,8/27/2015,7/20/2022,Sahibzada Ajit Singh Nagar,Punjab,,,30.69003032,76.70998706,Y,
535,Deopur,302,9/6/2015,10/21/2023,Dhule,Maharashtra,,,20.92002389,74.74999078,Y,
536,Prithvi Avenue,439,10/13/2021,10/13/2020,Chennai,Tamil Nadu,,,13.02986343,80.25359066,Y,
537,Bhopoli,464,8/1/2016,12/23/2020,Palghar,Maharashtra,,,19.76634446,72.98835982,Y,
538,Malwada,465,8/1/2016,12/23/2020,Palghar,Maharashtra,,,19.76116717,73.15349013,,
539,Rajdhani Masjid,499,12/16/2016,8/13/2023,Guwahati,Assam,State Capital,,26.14158989,91.78632608,,
540,Sri Ram Rang Pura,570,3/23/2017,11/15/2022,Bellary,Karnataka,,,15.28354838,76.64444763,Y,
541,Banjara Hills,673,6/2/2017,12/16/2023,Hyderabad,Telangana,,,17.4170613,78.44818246,Y,
542,Kapoorthla,704,7/13/2023,12/26/2023,Lucknow,Uttar Pradesh,,,26.90145217,80.94450466,Y,
543,Firozpur Suratganj,741,4/20/2018,7/30/2023,Barabanki,Uttar Pradesh,,,27.21073443,81.33403423,Y,
544,Saheed Nagar,749,9/13/2020,5/13/2018,Bhubaneswar,Odisha,,,20.29576995,85.84527015,Y,
545,Paigwa,764,12/20/2017,2/25/2023,Barabanki,Uttar Pradesh,,,27.09653607,81.21674915,Y,
546,Besant Nagar,849,2/23/2019,4/8/2022,Chennai,Tamil Nadu,,,13.00001241,80.26501864,,
547,Tezpur,863,6/24/2021,12/25/2022,Sonitpur,Assam,,,26.65998342,92.83001632,,
548,Bilasipara,864,6/24/2021,2/20/2023,Dhubri,Assam,,,26.23999073,90.22998355,,
549,Perka,867,7/26/2021,11/19/2023,Khunti,Jharkhand,,,23.00949427,85.26826748,,
550,Kolebira,873,6/24/2021,12/26/2023,Simdega,Jharkhand,,,22.70087113,84.69572953,,
551,Mahuadanr,874,6/24/2021,5/28/2022,Latehar,Jharkhand,,,23.39800775,84.10515873,,
552,Kothrud,875,6/24/2021,12/26/2023,Pune,Maharashtra,,,18.50972943,73.81414443,,
553,Nagaon,878,10/9/2021,10/26/2021,Nagaon,Assam,,,26.33976164,92.68035934,,
554,Borbheta,886,3/16/2018,12/5/2023,Jorhat,Assam,,,26.73515761,94.20370787,,
555,Alipur,887,12/6/2019,12/26/2023,Cachar,Assam,,,24.82003282,92.94001227,,
556,Kardaitola,888,5/4/2022,12/26/2023,Nalbari,Assam,,,26.38999574,91.4802288,,
557,Domadih,889,5/10/2007,12/26/2023,Godda,Jharkhand,,,24.78403827,87.35407837,,
558,Bhurkunda,890,8/18/2021,11/8/2023,Ramgarh,Jharkhand,,,23.65400894,85.35503601,,
559,Haider Nagar,891,5/3/2022,8/4/2022,Palamu,Jharkhand,,,24.48504314,83.94303459,,
560,Kairo,893,5/4/2022,12/11/2022,Lohardaga,Jharkhand,,,23.45216698,84.82469568,,
561,Zalim Khurd,898,5/4/2022,12/26/2023,Latehar,Jharkhand,,,23.7244326,84.56730294,,
562,Mihijam,899,5/4/2022,6/12/2023,Jamtara,Jharkhand,,,23.84836705,86.87752362,,
563,Netarhat,900,5/4/2022,7/29/2022,Latehar,Jharkhand,,,23.48806356,84.26202311,,
564,Chanho,901,5/4/2022,10/21/2022,Ranchi,Jharkhand,,,23.49019734,84.96997941,,
565,Lalmatia,902,5/4/2022,12/26/2023,Godda,Jharkhand,,,25.06687738,87.3545568,,
566,Satbarwa,903,5/4/2022,12/26/2023,Latehar,Jharkhand,,,23.92731244,84.25540034,,
567,Chouparan,904,5/4/2022,3/17/2023,Hazaribagh,Jharkhand,,,24.36018843,85.29303987,,
568,Amrit Nagar,905,5/4/2022,12/26/2023,Hazaribagh,Jharkhand,,,23.98962882,85.41046454,,
569,Dudhimati,906,5/4/2022,9/20/2023,Koderma,Jharkhand,,,24.46023615,85.5798743,,
570,Nichinta,909,10/13/2022,6/30/2023,Goalpara,Assam,,,26.09830818,90.55750904,,
571,Khatorbari,910,8/18/2021,4/14/2023,Baksa,Assam,,,26.69991397,91.65023869,,
572,Wani,914,9/20/2023,12/21/2023,Yavatmal,Maharashtra,,,20.0599,78.9299,Y,
